region,gender,year,lowerbound,upperbound,mean_estimate,country,age_group,ci_width,malnutrition_level,condition
,Male,2022,10.75729,14.5213,12.59957,SEAR,Adult,3.7640100000000007,Moderate,Malnutrition
Americas,Female,2018,1.10643,1.49056,1.29141,PER,Adult,0.3841300000000001,Low,Malnutrition
Western Pacific,Both,2021,0.09026,0.5746,0.26441,TON,Adult,0.48434,Low,Malnutrition
Americas,Female,2018,1.81106,5.03851,3.17035,HND,Adult,3.2274499999999997,Low,Malnutrition
Eastern Mediterranean,Female,2018,6.41423,11.17934,8.62324,AFG,Adult,4.76511,Low,Malnutrition
,Both,2012,14.95938,16.63975,15.77978,WB_LI,Adult,1.68037,Moderate,Malnutrition
Europe,Male,2013,0.4204,0.93475,0.64338,ITA,Adult,0.51435,Low,Malnutrition
South-East Asia,Female,2019,10.23362,16.57564,13.26021,MMR,Adult,6.34202,Moderate,Malnutrition
Africa,Both,2013,7.32683,10.21548,8.68136,BEN,Adult,2.8886499999999993,Low,Malnutrition
Western Pacific,Female,2012,0.53696,1.8941,1.10677,KIR,Adult,1.3571399999999998,Low,Malnutrition
Western Pacific,Female,2022,0.62827,2.99573,1.5771,PLW,Adult,2.36746,Low,Malnutrition
Europe,Male,2021,0.31363,2.32961,1.03713,MLT,Adult,2.0159800000000003,Low,Malnutrition
Americas,Male,2020,2.84518,7.98901,5.00145,JAM,Adult,5.14383,Low,Malnutrition
South-East Asia,Male,2017,7.38516,12.07167,9.60261,MDV,Adult,4.686509999999999,Low,Malnutrition
Americas,Male,2022,0.82694,3.4528,1.86969,BOL,Adult,2.62586,Low,Malnutrition
Europe,Both,2019,2.26991,5.12798,3.50691,KGZ,Adult,2.85807,Low,Malnutrition
Europe,Female,2022,0.64806,4.31618,2.02373,LTU,Adult,3.66812,Low,Malnutrition
Europe,Female,2022,1.26373,2.34013,1.75546,GBR,Adult,1.0763999999999998,Low,Malnutrition
Africa,Both,2018,4.38324,6.39633,5.34221,ZAF,Adult,2.01309,Low,Malnutrition
Western Pacific,Male,2021,0.08319,1.05583,0.39085,KIR,Adult,0.9726400000000001,Low,Malnutrition
Americas,Female,2014,1.19773,1.93364,1.54197,ECU,Adult,0.7359100000000001,Low,Malnutrition
Europe,Female,2021,1.0651,2.61901,1.73891,GRC,Adult,1.55391,Low,Malnutrition
Western Pacific,Female,2015,1.58211,2.40242,1.96805,AUS,Adult,0.8203100000000003,Low,Malnutrition
Americas,Both,2014,1.96835,3.69312,2.73625,SLV,Adult,1.72477,Low,Malnutrition
Africa,Male,2012,7.66613,13.20402,10.26773,MWI,Adult,5.53789,Moderate,Malnutrition
Western Pacific,Both,2013,0.17306,0.60619,0.34482,NRU,Adult,0.43313,Low,Malnutrition
Africa,Male,2012,3.72765,8.00398,5.66803,SYC,Adult,4.27633,Low,Malnutrition
Americas,Both,2018,1.57826,4.1905,2.71126,PRY,Adult,2.61224,Low,Malnutrition
South-East Asia,Female,2017,6.53277,9.60836,8.02925,MDV,Adult,3.075589999999999,Low,Malnutrition
Western Pacific,Female,2015,0.27409,2.00164,0.91359,NIU,Adult,1.7275500000000001,Low,Malnutrition
Western Pacific,Male,2021,2.87427,7.52385,4.83145,SGP,Adult,4.64958,Low,Malnutrition
Africa,Both,2015,9.10578,12.91099,10.93092,TZA,Adult,3.8052100000000006,Moderate,Malnutrition
Americas,Male,2019,1.4602,4.70888,2.81717,GTM,Adult,3.24868,Low,Malnutrition
Eastern Mediterranean,Female,2016,1.85199,3.54381,2.61109,PSE,Adult,1.69182,Low,Malnutrition
Africa,Both,2016,12.4775,18.24679,15.30227,COD,Adult,5.769290000000002,Moderate,Malnutrition
Europe,Male,2020,0.23243,1.43696,0.67548,NLD,Adult,1.20453,Low,Malnutrition
Eastern Mediterranean,Male,2012,2.71501,6.21846,4.28869,IRQ,Adult,3.5034500000000004,Low,Malnutrition
Americas,Male,2020,2.89705,8.93298,5.46834,TTO,Adult,6.0359300000000005,Low,Malnutrition
South-East Asia,Both,2022,4.01503,16.94645,9.33521,PRK,Adult,12.93142,Low,Malnutrition
Eastern Mediterranean,Both,2017,2.18273,3.63745,2.84695,PSE,Adult,1.45472,Low,Malnutrition
Europe,Female,2013,1.64121,5.09553,3.12491,BIH,Adult,3.45432,Low,Malnutrition
Americas,Male,2019,1.38278,4.07627,2.5051,CRI,Adult,2.69349,Low,Malnutrition
Africa,Female,2015,3.28554,6.18707,4.61996,DZA,Adult,2.90153,Low,Malnutrition
Americas,Female,2020,0.75013,11.7814,4.33387,ATG,Adult,11.03127,Low,Malnutrition
Europe,Female,2021,1.24577,3.37131,2.15967,HRV,Adult,2.12554,Low,Malnutrition
Western Pacific,Male,2018,0.04654,0.76339,0.26463,ASM,Adult,0.71685,Low,Malnutrition
Eastern Mediterranean,Female,2021,10.98564,20.09399,15.37281,SDN,Adult,9.108350000000002,Moderate,Malnutrition
Africa,Female,2013,6.59127,13.4704,9.79809,GNB,Adult,6.87913,Low,Malnutrition
Europe,Female,2015,2.01272,4.02092,2.92664,BLR,Adult,2.0082000000000004,Low,Malnutrition
Americas,Both,2021,0.40629,1.09792,0.70365,CHL,Adult,0.69163,Low,Malnutrition
Americas,Male,2020,2.10677,9.35429,5.01926,GRD,Adult,7.247520000000001,Low,Malnutrition
Western Pacific,Female,2015,2.38661,4.07134,3.16103,Mongolia,Adult,1.68473,Low,Malnutrition
Western Pacific,Both,2019,0.13715,0.72133,0.35344,NRU,Adult,0.58418,Low,Malnutrition
Americas,Male,2019,2.63496,6.2794,4.23224,DOM,Adult,3.64444,Low,Malnutrition
South-East Asia,Male,2019,3.37546,21.54453,10.36016,PRK,Adult,18.16907,Moderate,Malnutrition
Africa,Both,2012,9.64969,13.11955,11.31775,TZA,Adult,3.4698600000000006,Moderate,Malnutrition
Americas,Male,2016,0.23653,0.7421,0.45019,CHL,Adult,0.50557,Low,Malnutrition
Americas,Female,2016,3.24665,5.49092,4.31728,VEN,Adult,2.24427,Low,Malnutrition
,Male,2018,11.74841,13.96063,12.83258,AFR,Adult,2.2122200000000003,Moderate,Malnutrition
Europe,Both,2013,2.84992,4.58617,3.67349,TKM,Adult,1.73625,Low,Malnutrition
Africa,Both,2021,5.62744,9.40619,7.3629,Sierra Leone,Adult,3.7787500000000005,Low,Malnutrition
Europe,Male,2017,0.1722,2.02621,0.77981,CYP,Adult,1.85401,Low,Malnutrition
Americas,Male,2015,0.92046,1.32092,1.10809,PER,Adult,0.40046000000000015,Low,Malnutrition
Eastern Mediterranean,Both,2020,2.53015,6.76147,4.36774,LBY,Adult,4.23132,Low,Malnutrition
South-East Asia,Both,2020,5.24871,7.91138,6.47948,THA,Adult,2.6626700000000003,Low,Malnutrition
Western Pacific,Male,2015,0.36284,1.42911,0.78115,PLW,Adult,1.06627,Low,Malnutrition
,Female,2012,2.64168,3.01307,2.82797,AMR,Adult,0.3713899999999999,Low,Malnutrition
Europe,Both,2021,1.80365,3.29845,2.47739,BGR,Adult,1.4948,Low,Malnutrition
Americas,Both,2016,1.34677,4.89612,2.81655,KNA,Adult,3.5493499999999996,Low,Malnutrition
Africa,Male,2016,6.08993,19.92058,12.10025,MRT,Adult,13.830650000000002,Moderate,Malnutrition
Americas,Both,2019,1.30262,2.0934,1.66724,Argentina,Adult,0.79078,Low,Malnutrition
Western Pacific,Male,2016,0.08572,0.64955,0.2846,TON,Adult,0.5638299999999999,Low,Malnutrition
Africa,Male,2019,7.90002,23.67044,15.03805,SSD,Adult,15.77042,Moderate,Malnutrition
Western Pacific,Female,2021,0.69008,3.89248,1.88617,FSM,Adult,3.2024,Low,Malnutrition
,Male,2022,1.41494,2.03417,1.69596,WB_HI,Adult,0.61923,Low,Malnutrition
Americas,Male,2021,0.14736,0.89263,0.41536,CHL,Adult,0.7452700000000001,Low,Malnutrition
Western Pacific,Both,2013,0.12566,0.50934,0.27525,TON,Adult,0.38368,Low,Malnutrition
Africa,Female,2013,8.45392,11.34875,9.83285,NGA,Adult,2.8948300000000007,Low,Malnutrition
Americas,Both,2018,1.85994,3.26677,2.5107,PAN,Adult,1.4068300000000002,Low,Malnutrition
Europe,Both,2016,2.50034,4.89517,3.5698,KGZ,Adult,2.3948300000000002,Low,Malnutrition
Western Pacific,Male,2020,1.87469,5.73582,3.50712,BRN,Adult,3.86113,Low,Malnutrition
Europe,Both,2015,1.5518,2.87862,2.14755,SVK,Adult,1.32682,Low,Malnutrition
Europe,Both,2012,0.88155,3.09994,1.80663,CYP,Adult,2.2183900000000003,Low,Malnutrition
Americas,Male,2021,0.75398,1.94862,1.26137,Argentina,Adult,1.1946400000000001,Low,Malnutrition
Eastern Mediterranean,Male,2014,5.96723,26.09756,14.45297,DJI,Adult,20.13033,Moderate,Malnutrition
Europe,Male,2016,0.4047,0.78862,0.57012,CHE,Adult,0.38392,Low,Malnutrition
Africa,Female,2018,9.61128,13.63027,11.58793,GMB,Adult,4.018989999999999,Moderate,Malnutrition
Western Pacific,Both,2012,5.50702,7.20486,6.32415,SGP,Adult,1.6978400000000002,Low,Malnutrition
Europe,Both,2018,1.31147,2.71028,1.93585,AUT,Adult,1.39881,Low,Malnutrition
Americas,Both,2020,0.92414,1.24055,1.07276,PER,Adult,0.3164100000000001,Low,Malnutrition
Americas,Both,2022,3.30017,6.29788,4.63823,VEN,Adult,2.99771,Low,Malnutrition
Africa,Male,2019,3.75779,8.49376,5.85629,STP,Adult,4.73597,Low,Malnutrition
Africa,Both,2012,6.96808,9.03511,7.98175,GHA,Adult,2.06703,Low,Malnutrition
Western Pacific,Female,2014,8.65184,14.82818,11.59434,LAO,Adult,6.17634,Moderate,Malnutrition
Western Pacific,Male,2016,0.62219,0.97663,0.78973,NZL,Adult,0.35444,Low,Malnutrition
Europe,Female,2021,1.38217,3.83625,2.42696,BEL,Adult,2.4540800000000003,Low,Malnutrition
Europe,Male,2016,0.40042,1.32068,0.77097,SVK,Adult,0.9202600000000001,Low,Malnutrition
Africa,Both,2013,8.5336,12.34271,10.31042,ZMB,Adult,3.8091100000000004,Moderate,Malnutrition
Europe,Female,2013,2.83851,4.62185,3.69055,ROU,Adult,1.7833400000000004,Low,Malnutrition
Americas,Both,2019,2.80787,5.11523,3.87816,LCA,Adult,2.3073600000000005,Low,Malnutrition
Europe,Both,2021,0.83853,2.03974,1.35006,DEU,Adult,1.20121,Low,Malnutrition
Europe,Female,2015,1.21302,2.55544,1.79218,PRT,Adult,1.34242,Low,Malnutrition
Europe,Female,2013,2.27336,3.9914,3.02639,ARM,Adult,1.7180400000000002,Low,Malnutrition
Europe,Female,2017,0.88551,3.31063,1.88948,MLT,Adult,2.42512,Low,Malnutrition
Western Pacific,Both,2022,4.05192,6.88287,5.36674,MYS,Adult,2.8309499999999996,Low,Malnutrition
Eastern Mediterranean,Female,2016,1.78155,4.49208,2.96356,QAT,Adult,2.7105299999999994,Low,Malnutrition
Americas,Female,2014,1.73984,3.82576,2.66321,NIC,Adult,2.0859199999999998,Low,Malnutrition
Eastern Mediterranean,Female,2016,1.37366,3.62468,2.33233,IRQ,Adult,2.25102,Low,Malnutrition
Africa,Both,2018,28.04223,38.97952,33.51459,ERI,Adult,10.93729,High,Malnutrition
Africa,Female,2015,2.6161,5.10499,3.74663,LSO,Adult,2.48889,Low,Malnutrition
Americas,Male,2021,1.29046,5.52864,2.99067,SLV,Adult,4.23818,Low,Malnutrition
Western Pacific,Female,2013,6.61396,7.68141,7.14573,CHN,Adult,1.06745,Low,Malnutrition
Africa,Male,2022,6.88355,14.14131,10.1078,BFA,Adult,7.257760000000001,Moderate,Malnutrition
Africa,Male,2022,9.44562,24.55254,16.49375,BWA,Adult,15.10692,Moderate,Malnutrition
Western Pacific,Female,2021,0.7966,2.77182,1.60767,MHL,Adult,1.97522,Low,Malnutrition
Africa,Male,2017,6.58428,10.11364,8.26082,ZAF,Adult,3.5293600000000005,Low,Malnutrition
Europe,Male,2021,0.22174,1.53603,0.69643,NLD,Adult,1.31429,Low,Malnutrition
Europe,Male,2012,0.19085,1.8534,0.77527,CYP,Adult,1.66255,Low,Malnutrition
Americas,Male,2013,0.59446,1.06096,0.80546,CAN,Adult,0.4664999999999999,Low,Malnutrition
South-East Asia,Male,2012,12.63001,16.83576,14.69429,IDN,Adult,4.20575,Moderate,Malnutrition
Europe,Both,2021,1.71429,3.43988,2.46936,UZB,Adult,1.72559,Low,Malnutrition
Africa,Male,2018,16.12517,25.81215,20.90385,SEN,Adult,9.686979999999998,High,Malnutrition
Europe,Both,2015,0.93585,1.8763,1.35098,SWE,Adult,0.9404500000000001,Low,Malnutrition
Europe,Male,2022,0.29613,0.86436,0.52796,CHE,Adult,0.56823,Low,Malnutrition
Europe,Both,2019,0.97976,3.00931,1.77,MNE,Adult,2.0295500000000004,Low,Malnutrition
Africa,Both,2016,12.5492,21.54216,16.77474,TCD,Adult,8.992959999999998,Moderate,Malnutrition
Europe,Both,2015,1.20107,2.14567,1.63848,HRV,Adult,0.9445999999999999,Low,Malnutrition
Europe,Male,2016,0.41326,2.60036,1.22116,AND,Adult,2.1870999999999996,Low,Malnutrition
Western Pacific,Both,2020,1.50418,5.33534,3.08036,PNG,Adult,3.8311600000000006,Low,Malnutrition
Europe,Male,2017,0.27059,1.20331,0.63267,NLD,Adult,0.9327200000000001,Low,Malnutrition
South-East Asia,Male,2012,20.54847,23.45581,21.9977,IND,Adult,2.9073400000000014,High,Malnutrition
South-East Asia,Female,2019,4.68332,7.3962,5.94287,THA,Adult,2.71288,Low,Malnutrition
,Female,2020,3.61867,4.30609,3.95583,WB_HI,Adult,0.6874200000000004,Low,Malnutrition
Eastern Mediterranean,Both,2020,1.65604,5.82254,3.40456,SYR,Adult,4.1665,Low,Malnutrition
Eastern Mediterranean,Both,2014,8.29144,13.04431,10.52298,AFG,Adult,4.75287,Moderate,Malnutrition
South-East Asia,Female,2014,8.3912,11.66148,9.97478,MDV,Adult,3.2702799999999996,Low,Malnutrition
Americas,Male,2013,3.09742,6.87703,4.75946,LCA,Adult,3.7796100000000004,Low,Malnutrition
Eastern Mediterranean,Male,2015,4.74236,9.68881,7.0151,MAR,Adult,4.9464500000000005,Low,Malnutrition
Americas,Male,2020,1.43837,3.99656,2.52993,PAN,Adult,2.55819,Low,Malnutrition
Africa,Both,2015,29.28467,38.02567,33.67652,ERI,Adult,8.741,High,Malnutrition
Africa,Both,2019,5.59977,15.08127,9.62803,GNB,Adult,9.4815,Low,Malnutrition
Europe,Female,2020,1.69515,3.87203,2.64736,UZB,Adult,2.17688,Low,Malnutrition
Europe,Male,2022,0.47235,2.1889,1.12831,BEL,Adult,1.7165499999999998,Low,Malnutrition
Western Pacific,Male,2013,6.33414,8.90423,7.55857,MYS,Adult,2.5700900000000004,Low,Malnutrition
Eastern Mediterranean,Male,2018,1.42193,3.26958,2.21726,EGY,Adult,1.84765,Low,Malnutrition
Americas,Both,2021,9.19779,17.75697,13.21477,HTI,Adult,8.55918,Moderate,Malnutrition
Europe,Male,2017,0.52688,1.12129,0.78428,AUT,Adult,0.5944099999999999,Low,Malnutrition
Africa,Both,2017,3.74294,6.42019,4.99562,DZA,Adult,2.67725,Low,Malnutrition
Americas,Male,2017,2.08475,3.60958,2.79525,COL,Adult,1.5248299999999997,Low,Malnutrition
Africa,Male,2016,7.21777,12.93175,9.89633,MWI,Adult,5.713979999999999,Low,Malnutrition
,Male,2016,1.4997,1.76406,1.62781,WB_HI,Adult,0.26435999999999993,Low,Malnutrition
Africa,Both,2016,10.12119,15.58606,12.71313,GMB,Adult,5.4648699999999995,Moderate,Malnutrition
Eastern Mediterranean,Male,2014,2.9441,6.96957,4.71511,TUN,Adult,4.02547,Low,Malnutrition
Western Pacific,Male,2017,3.77048,5.3872,4.5511,JPN,Adult,1.61672,Low,Malnutrition
Eastern Mediterranean,Both,2014,1.21804,1.91324,1.53726,EGY,Adult,0.6952,Low,Malnutrition
Africa,Both,2022,7.35265,14.16081,10.53193,TZA,Adult,6.80816,Moderate,Malnutrition
South-East Asia,Male,2013,16.12759,23.44909,19.68561,TLS,Adult,7.3215,Moderate,Malnutrition
Western Pacific,Male,2019,0.17952,1.5842,0.65204,PYF,Adult,1.40468,Low,Malnutrition
Europe,Male,2019,0.52212,1.70023,1.00463,MDA,Adult,1.1781099999999998,Low,Malnutrition
Europe,Both,2019,1.35096,2.26647,1.76684,HUN,Adult,0.91551,Low,Malnutrition
Eastern Mediterranean,Both,2021,12.57011,19.90262,16.05185,SDN,Adult,7.332509999999999,Moderate,Malnutrition
Europe,Both,2021,0.86773,1.81419,1.28997,GRC,Adult,0.94646,Low,Malnutrition
Western Pacific,Both,2016,1.13794,2.39981,1.69739,MHL,Adult,1.26187,Low,Malnutrition
Africa,Female,2019,5.96871,13.03622,9.18174,BWA,Adult,7.06751,Low,Malnutrition
Europe,Both,2013,1.6224,2.30997,1.9428,DNK,Adult,0.6875699999999998,Low,Malnutrition
South-East Asia,Both,2016,20.19962,25.13847,22.63705,TLS,Adult,4.938850000000002,High,Malnutrition
Africa,Female,2021,3.00267,7.6583,5.08287,ZWE,Adult,4.6556299999999995,Low,Malnutrition
Americas,Female,2014,1.09207,2.38858,1.65919,BOL,Adult,1.29651,Low,Malnutrition
Western Pacific,Male,2021,0.10934,1.49372,0.55672,COK,Adult,1.38438,Low,Malnutrition
South-East Asia,Male,2020,3.16721,21.32539,10.09897,PRK,Adult,18.158179999999998,Moderate,Malnutrition
Europe,Both,2017,1.39963,2.40945,1.85946,ITA,Adult,1.0098200000000002,Low,Malnutrition
South-East Asia,Male,2021,11.75029,18.50069,15.0036,BGD,Adult,6.750399999999999,Moderate,Malnutrition
Europe,Female,2016,2.30274,4.27017,3.19608,UZB,Adult,1.9674300000000002,Low,Malnutrition
Americas,Female,2015,1.73081,2.78535,2.21924,Argentina,Adult,1.0545400000000003,Low,Malnutrition
Western Pacific,Both,2021,1.01237,2.62674,1.70106,MHL,Adult,1.6143699999999999,Low,Malnutrition
,Female,2015,14.4976,15.77001,15.13298,WB_LMI,Adult,1.272409999999999,Moderate,Malnutrition
Eastern Mediterranean,Male,2018,2.23206,7.27883,4.34189,TUN,Adult,5.04677,Low,Malnutrition
Europe,Both,2012,0.73611,1.24881,0.97155,IRL,Adult,0.5126999999999999,Low,Malnutrition
Africa,Male,2020,6.49072,14.1092,9.94804,MWI,Adult,7.61848,Low,Malnutrition
Europe,Male,2018,0.93398,2.4237,1.57692,RUS,Adult,1.4897200000000002,Low,Malnutrition
Europe,Male,2020,0.38592,3.23968,1.37812,AND,Adult,2.85376,Low,Malnutrition
Europe,Both,2012,0.85362,1.6296,1.19989,NOR,Adult,0.7759799999999999,Low,Malnutrition
Africa,Both,2017,10.61364,16.59899,13.51242,BWA,Adult,5.98535,Moderate,Malnutrition
Eastern Mediterranean,Both,2021,2.18679,5.95839,3.82186,TUN,Adult,3.7716,Low,Malnutrition
Europe,Both,2014,1.28233,4.20596,2.50662,MKD,Adult,2.92363,Low,Malnutrition
South-East Asia,Male,2017,15.72067,18.85065,17.27046,IND,Adult,3.1299800000000015,Moderate,Malnutrition
Africa,Female,2014,8.28216,11.3491,9.75726,NGA,Adult,3.0669400000000007,Low,Malnutrition
South-East Asia,Both,2018,10.89222,13.76094,12.25321,NPL,Adult,2.8687199999999997,Moderate,Malnutrition
Western Pacific,Female,2021,2.20741,5.54625,3.68786,BRN,Adult,3.33884,Low,Malnutrition
Western Pacific,Female,2013,0.12972,1.17021,0.48403,COK,Adult,1.04049,Low,Malnutrition
Eastern Mediterranean,Female,2021,5.70197,21.9111,12.64096,SOM,Adult,16.209130000000002,Moderate,Malnutrition
Eastern Mediterranean,Female,2019,4.44456,8.71697,6.37636,OMN,Adult,4.27241,Low,Malnutrition
Eastern Mediterranean,Both,2020,12.75728,19.55635,16.01913,SDN,Adult,6.799069999999999,Moderate,Malnutrition
South-East Asia,Female,2021,8.97783,14.28444,11.53933,LKA,Adult,5.306609999999999,Moderate,Malnutrition
Western Pacific,Female,2015,6.12308,7.2989,6.69895,CHN,Adult,1.1758199999999999,Low,Malnutrition
Americas,Both,2015,1.45475,2.15716,1.78659,Argentina,Adult,0.7024100000000002,Low,Malnutrition
Americas,Both,2014,0.63519,1.0696,0.83673,CHL,Adult,0.4344100000000001,Low,Malnutrition
Europe,Both,2012,1.21508,2.53343,1.80846,LUX,Adult,1.3183500000000001,Low,Malnutrition
Americas,Both,2021,1.2536,2.31486,1.73016,CAN,Adult,1.0612599999999999,Low,Malnutrition
Europe,Both,2015,1.22905,4.22222,2.47472,MKD,Adult,2.99317,Low,Malnutrition
Europe,Female,2013,2.13615,3.54544,2.78361,HUN,Adult,1.40929,Low,Malnutrition
Europe,Both,2013,2.66157,4.74504,3.62165,KGZ,Adult,2.08347,Low,Malnutrition
,Both,2015,6.89932,7.86138,7.37254,EMR,Adult,0.9620599999999992,Low,Malnutrition
Americas,Female,2017,0.8482,11.97561,4.51361,ATG,Adult,11.12741,Low,Malnutrition
Africa,Male,2016,3.10281,8.17525,5.32547,SYC,Adult,5.07244,Low,Malnutrition
Africa,Both,2015,11.28834,23.21426,16.89384,SSD,Adult,11.92592,Moderate,Malnutrition
Europe,Male,2015,0.53752,1.05833,0.76604,AUT,Adult,0.52081,Low,Malnutrition
Europe,Both,2022,1.50195,3.22526,2.24779,DNK,Adult,1.7233100000000001,Low,Malnutrition
Americas,Male,2022,1.35879,4.44379,2.62637,PAN,Adult,3.085,Low,Malnutrition
Europe,Male,2022,0.83343,3.00079,1.71004,TUR,Adult,2.16736,Low,Malnutrition
Americas,Both,2021,1.32011,4.31646,2.57952,PRY,Adult,2.9963500000000005,Low,Malnutrition
Africa,Both,2012,15.68502,20.71361,18.14412,NER,Adult,5.0285899999999994,Moderate,Malnutrition
,Male,2019,1.08262,1.45841,1.25493,EUR,Adult,0.37579000000000007,Low,Malnutrition
Africa,Female,2016,6.58253,10.31039,8.37208,ZMB,Adult,3.7278599999999997,Low,Malnutrition
Western Pacific,Female,2019,0.05013,1.76498,0.54136,TKL,Adult,1.71485,Low,Malnutrition
Africa,Both,2021,4.08486,8.00379,5.89745,MUS,Adult,3.9189300000000005,Low,Malnutrition
Europe,Both,2016,0.79953,1.71365,1.19754,NOR,Adult,0.9141199999999999,Low,Malnutrition
Europe,Female,2017,1.9536,4.4868,3.06381,AUT,Adult,2.5332,Low,Malnutrition
,Male,2019,3.49034,4.52694,3.98506,WB_UMI,Adult,1.0365999999999995,Low,Malnutrition
South-East Asia,Female,2017,11.22824,15.71785,13.46808,LKA,Adult,4.489610000000001,Moderate,Malnutrition
Africa,Both,2015,7.01189,10.09338,8.44386,BEN,Adult,3.0814899999999996,Low,Malnutrition
South-East Asia,Male,2021,11.77202,22.76434,16.88491,TLS,Adult,10.992320000000001,Moderate,Malnutrition
Western Pacific,Male,2021,1.76602,4.80637,3.10416,Mongolia,Adult,3.04035,Low,Malnutrition
Europe,Both,2020,0.73387,1.95127,1.23741,NOR,Adult,1.2174,Low,Malnutrition
Eastern Mediterranean,Male,2020,2.27831,5.20418,3.56483,JOR,Adult,2.92587,Low,Malnutrition
Eastern Mediterranean,Both,2018,13.07847,19.06377,15.98824,SDN,Adult,5.985300000000002,Moderate,Malnutrition
,Female,2012,10.92101,11.99074,11.45614,AFR,Adult,1.0697299999999998,Moderate,Malnutrition
Eastern Mediterranean,Female,2015,3.23486,25.01379,11.7865,DJI,Adult,21.77893,Moderate,Malnutrition
Africa,Female,2012,18.56649,24.29688,21.32596,MDG,Adult,5.73039,High,Malnutrition
South-East Asia,Male,2017,5.98711,9.80548,7.73834,THA,Adult,3.818369999999999,Low,Malnutrition
Western Pacific,Both,2014,16.62171,19.4968,18.03584,VNM,Adult,2.87509,Moderate,Malnutrition
Africa,Male,2021,4.32404,9.06479,6.47471,LBR,Adult,4.74075,Low,Malnutrition
Eastern Mediterranean,Both,2014,13.37772,18.8289,16.0284,SDN,Adult,5.451180000000001,Moderate,Malnutrition
Africa,Both,2017,9.86164,12.32294,11.06635,UGA,Adult,2.4612999999999996,Moderate,Malnutrition
Europe,Female,2015,2.23475,3.24244,2.71934,TUR,Adult,1.0076900000000002,Low,Malnutrition
South-East Asia,Female,2017,15.12306,18.40018,16.73283,BGD,Adult,3.2771199999999983,Moderate,Malnutrition
Western Pacific,Both,2013,0.75894,1.72383,1.18358,PLW,Adult,0.96489,Low,Malnutrition
Western Pacific,Both,2019,2.78521,5.27407,3.92099,BRN,Adult,2.48886,Low,Malnutrition
Europe,Both,2017,1.9012,3.48014,2.60704,CHE,Adult,1.57894,Low,Malnutrition
Europe,Both,2013,3.75775,6.12593,4.8356,TJK,Adult,2.36818,Low,Malnutrition
Americas,Male,2018,1.1335,3.49667,2.12749,BOL,Adult,2.36317,Low,Malnutrition
Africa,Both,2012,15.60025,22.63615,18.8532,MDG,Adult,7.0359,Moderate,Malnutrition
